#;activity;batteryLife;color;color_map;current_edge;current_path;destination;distancePerCycle;distanceTraveledBike;heading;index;last_trip_day;last_trip_h;location;name;real_speed;rider;speed;state;states;target;travelledPath
194;1;22973.359373456522;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(11783);([road(175),road(176),road(748),road(743),road(731),road(726),road(725),road(729),road(1196),road(1200),road(1203),road(1206),road(1170),road(1167),road(1168),road(1174),road(7893),road(7896),road(10841),road(1315),road(1313),road(1282),road(1278),road(1277),road(1271),road(1269),road(1273),road(2326),road(11101),road(1268),road(1260),road(1259),road(1265),road(2701),road(2694),road(2696),road(2847),road(2848),road(7959),road(7958),road(7957),road(10982),road(7889),road(7888),road(10666),road(10665),road(9253),road(2730),road(2722),road(2720),road(2725),road(2736),road(2756),road(2760),road(9325),road(11783)]) as path;{1102.235813072064,3045.165690235123,0.0};0.0;1840.9677307191546;137.43836273018;194;1;8;{1105.9185637141734,3041.783775436071,0.0};'autonomousBike194';1.9857912418557824;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{1113.231737685213,3035.0679986474124,0.0},{1105.9185637141734,3041.783775436071,0.0}])]) as path
195;1;42853.95057709503;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(2906);([road(11261),road(234),road(235),road(9990),road(9991),road(9994),road(1612),road(1609),road(26),road(27),road(1615),road(1616),road(1617),road(1621),road(1618),road(1620),road(1624),road(1720),road(1191),road(1188),road(1144),road(1140),road(1139),road(1142),road(1148),road(1151),road(1159),road(1168),road(1175),road(1238),road(1227),road(1228),road(1229),road(1231),road(1323),road(1325),road(11027),road(9098),road(1308),road(1309),road(9100),road(1328),road(1329),road(10087),road(10088),road(10609),road(2611),road(2600),road(2597),road(2598),road(2603),road(2618),road(2620),road(2622),road(2627),road(2626),road(2629),road(2635),road(2637),road(2640),road(2892),road(2895),road(2893),road(2896),road(7381),road(7378),road(7377),road(7375),road(2904),road(2900),road(2901),road(2906)]) as path;{243.87837756467414,3026.272073010582,0.0};0.0;4178.287729293758;210.5204570238979;195;1;8;{248.18561702866904,3028.8113028544135,0.0};'autonomousBike195';0.5726822514470657;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{245.3725666929887,3039.221363909121,0.0},{242.90588709922645,3037.767192045214,0.0}])]) as path
196;0;48673.260865358745;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);nil;nil;{5736.09188636356,963.8686986137596,0.0};0.0;0.0;342.4866835193162;196;7;12;{5731.323651183455,965.3733358681202,0.0};'autonomousBike196';0.0;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;nil
197;1;23731.261169510817;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(4425);([road(4094),road(4437),road(5507),road(4427),road(4426),road(4433),road(4425)]) as path;{4519.494583639851,1362.8684750982504,0.0};0.0;161.20912296761773;164.72706457707636;197;1;8;{4524.317993417324,1361.5513881160878,0.0};'autonomousBike197';0.7599522790079266;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{4527.983554670303,1360.5504648623416,0.0},{4524.317993417324,1361.5513881160878,0.0}])]) as path
198;0;34661.88842300086;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);nil;nil;{7576.694169251355,465.36238806371944,0.0};0.0;0.0;349.74018898213717;198;7;12;{7571.774118185684,466.25294828694314,0.0};'autonomousBike198';0.0;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;nil
199;0;65752.58482122175;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);nil;nil;{1431.7024832757797,1209.3869417702322,0.0};0.0;0.0;247.14877627976898;199;7;12;{1433.6441812654957,1213.9945234479383,0.0};'autonomousBike199';0.0;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;nil
200;0;49343.280333589064;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);nil;nil;{5860.466988486897,1383.6370950052258,0.0};0.0;0.0;241.57014135874388;200;7;12;{5862.847401272564,1388.0340979583561,0.0};'autonomousBike200';0.0;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;nil
201;1;28591.995477056036;#mediumslateblue;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(1384);([road(1133),road(1426),road(1138),road(1137),road(1485),road(1486),road(1463),road(1461),road(1459),road(1455),road(1450),road(75),road(73),road(1774),road(1386),road(1385),road(1384),road(1383),road(1398),road(1378),road(1377),road(1781),road(3655),road(3651),road(3634),road(3631),road(3632),road(3630),road(3627),road(3628),road(3673),road(3672),road(3553)]) as path;{3625.6635380975154,1249.140473482022,0.0};0.0;1686.1205076678;274.4550453797064;201;1;8;{3625.275153676521,1254.1253664138237,0.0};'autonomousBike201';2.2222222222222223;people(416);1.0;'in_use_people';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];{3956.5708875416167,841.7416718350723,0.0};([polyline ([{3624.4153747724163,1265.203162544825,0.0},{3625.077969587699,1256.6562134753913,0.0}]),polyline ([{3625.077969587699,1256.6562134753913,0.0},{3625.275153676521,1254.1253664138237,0.0}])]) as path
202;1;34491.90769807903;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);road(2853);([road(1858),road(1819),road(1814),road(1812),road(1816),road(7521),road(10259),road(11111),road(2008),road(2009),road(11151),road(8322),road(1503),road(42),road(43),road(1506),road(1590),road(1585),road(1584),road(1588),road(1610),road(26),road(27),road(1615),road(1616),road(1617),road(1621),road(1618),road(1620),road(1624),road(1720),road(1191),road(1188),road(1144),road(1140),road(1139),road(1142),road(1148),road(1151),road(1159),road(1168),road(1175),road(1238),road(1227),road(1228),road(1229),road(1231),road(1323),road(1325),road(11027),road(9098),road(1308),road(1309),road(9100),road(1328),road(1329),road(10087),road(10088),road(10609),road(2611),road(2600),road(2597),road(2598),road(2603),road(2618),road(2620),road(2623),road(2634),road(2854),road(2853)]) as path;{586.0160506268098,2561.490236054921,0.0};0.0;3234.6410408259608;172.72089616736187;202;1;8;{590.9757542166335,2560.8567218079697,0.0};'autonomousBike202';1.2020707863787021;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;([polyline ([{597.0711781776912,2561.1404193610274,0.0},{591.1092633832666,2561.901948330042,0.0}])]) as path
203;0;52414.68210397415;#cyan;map(['wandering'::#cyan,'low_battery'::#red,'getting_charge'::#red,'picking_up_people'::#mediumpurple,'picking_up_packages'::#gold,'in_use_people'::#mediumslateblue,'in_use_packages'::#yellow,'rebalancing'::#orange]);nil;nil;{5161.451698731482,4451.601953544331,0.0};0.0;0.0;100.4289695305948;203;7;12;{5162.356780878268,4446.684553183615,0.0};'autonomousBike203';0.0;nil;1.0;'wandering';['picking_up_people','fleetsize','low_battery','in_use_people','newborn','getting_charge','wandering'];nil;nil
