activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_time,end_time,duration_minutes,distance_miles,start_hour,same_place
1.2590748248358384e+19,42.388388,-71.11823199999999,42.362516,-71.0998,EAT,2023-06-26 06:30:39,2023-06-26 06:36:41,6,2.7805267810033194,6,No
7.966715161877195e+18,42.371328999999996,-71.11647099999999,42.3665288,-71.1057339,EAT,2023-06-26 06:31:54,2023-06-26 06:36:42,4,1.9087727651770607,6,No
5.990933711342505e+17,42.373371,-71.118965,42.36662407069207,-71.09989999279921,EAT,2023-06-26 06:32:52,2023-06-26 06:36:46,3,1.458573868407304,6,No
1.3209118322044406e+19,42.365675,-71.103734,42.36662407069207,-71.09989999279921,EAT,2023-06-26 06:32:52,2023-06-26 06:33:56,1,0.3628263451265441,6,No
1.8264115360789885e+19,42.361649,-71.09047,42.37437976168294,-71.10735466703078,EAT,2023-06-26 06:35:53,2023-06-26 06:41:19,5,2.386261283629579,6,No
4.622989421953279e+18,42.371281,-71.083318,42.37245599902504,-71.08611199163238,EAT,2023-06-26 06:39:25,2023-06-26 06:40:53,1,0.076535844752343,6,No
2.6863118602121114e+18,42.365675,-71.103734,42.386417469738404,-71.12402097853851,EAT,2023-06-26 06:40:03,2023-06-26 06:46:07,6,2.629646466301645,6,No
1.0050342427057293e+19,42.388388,-71.11823199999999,42.39921230079472,-71.12980239564081,EAT,2023-06-26 06:41:44,2023-06-26 06:44:09,2,1.047755862200421,6,No
1.811771059673119e+19,42.388388,-71.11823199999999,42.39828855377477,-71.12982158925563,EAT,2023-06-26 06:41:44,2023-06-26 06:44:07,2,0.966225432786683,6,No
1.7885910921886954e+17,42.371959999999994,-71.075408,42.36804589132016,-71.07979655688196,EAT,2023-06-26 06:41:48,2023-06-26 06:53:41,11,0.6157479352416889,6,No
1.1799774039098038e+19,42.388388,-71.11823199999999,42.38931911475706,-71.121261479802,EAT,2023-06-26 06:43:53,2023-06-26 06:45:13,1,0.06908485077562401,6,No
1.6078619384414474e+19,42.361649,-71.09047,42.360623,-71.08743,EAT,2023-06-26 06:45:58,2023-06-26 06:51:35,5,0.28384247840943705,6,No
1.5172647712660718e+19,42.363447,-71.097363,42.36384914386415,-71.09832436936445,EAT,2023-06-26 06:48:35,2023-06-26 06:50:55,2,0.12142933808742899,6,No
1.5412499722969324e+18,42.388388,-71.11823199999999,42.398542540993326,-71.12985195348129,EAT,2023-06-26 06:48:56,2023-06-26 06:50:48,1,0.9794730993380749,6,No
1.8204507509532455e+19,42.388388,-71.11823199999999,42.39951754614113,-71.13144563989667,EAT,2023-06-26 06:48:56,2023-06-26 07:08:24,19,1.0082584624835431,6,No
1.3951255816328866e+19,42.362207,-71.087304,42.35731286087468,-71.09384525746042,EAT,2023-06-26 06:49:10,2023-06-26 06:50:13,1,0.399693016477213,6,No
1.597266724285209e+18,42.361649,-71.09047,42.35731286087468,-71.09384525746042,EAT,2023-06-26 06:49:10,2023-06-26 06:52:36,3,0.38204531385595,6,No
4.89440809649121e+17,42.362207,-71.087304,42.35731286087468,-71.09384525746042,EAT,2023-06-26 06:49:10,2023-06-26 06:53:53,4,0.24224230921375906,6,No
