tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
536,2019-10-10 00:33:39.9620,2019-10-10 00:42:36.4600,26,Washington St at Waltham St,42.3415598497246,-71.06886953115462,370,Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,2914,Subscriber,1984,1,186367,-71.06763314737168,42.34407347070645,248280,-71.07889311357451,42.35030928241514,2019.0,2556.0
217,2019-10-10 00:34:01.4010,2019-10-10 00:37:39.0930,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,53,Beacon St at Massachusetts Ave,42.350826806690954,-71.0898108780384,2099,Subscriber,2000,1,246435,-71.09859955007506,42.348122525884,248306,-71.0898630631708,42.34858677560474,2041.0,2259.0
222,2019-10-10 00:37:23.0790,2019-10-10 00:41:05.7430,161,W Broadway at D St,42.3391085,-71.05144320000001,113,Andrew T Stop - Dorchester Ave at Dexter St,42.33047365041517,-71.05701684951781,5377,Subscriber,1994,1,251880,-71.0524545404081,42.3413743405134,190044,-71.05653844462948,42.33051352488486,2243.0,2465.0
195,2019-10-10 00:39:21.4620,2019-10-10 00:42:36.9200,61,Boylston St at Fairfield St,42.348762,-71.082383,384,Clarendon St at Newbury St,42.35155308466532,-71.0756903143556,3601,Subscriber,1994,1,246085,-71.08166355904262,42.348185525850184,259721,-71.0777754,42.34987629999999,2361.0,2556.0
836,2019-10-10 00:39:23.6250,2019-10-10 00:53:19.8500,233,St Mary's,42.346197076555455,-71.10728681087494,354,Washington St at Egremont Rd,42.3428683507196,-71.14127840855872,5929,Subscriber,1995,1,182397,-71.11001165389385,42.34641423492375,221231,-71.14168428327571,42.3407970487712,2363.0,3199.0
336,2019-10-10 00:44:24.8790,2019-10-10 00:50:01.5570,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.12383100000001,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.10827900000001,2317,Subscriber,1999,2,85892,-71.12538354776703,42.350596676001125,202835,-71.10799217231575,42.35102362416853,2664.0,3001.0
513,2019-10-10 00:47:16.1780,2019-10-10 00:55:50.0980,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.12383100000001,4429,Subscriber,1998,1,1263,-71.09607632713299,42.34979323639893,181070,-71.1254540780413,42.3536209451922,2836.0,3350.0
598,2019-10-10 00:48:04.9390,2019-10-10 00:58:03.1420,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,9,Commonwealth Ave at Agganis Way,42.35169201885972,-71.11903488636017,3970,Subscriber,2001,1,257219,-71.0981522338617,42.348198441398054,202793,-71.12232102696217,42.35236714249828,2884.0,3483.0
354,2019-10-10 00:48:22.6620,2019-10-10 00:54:17.2480,361,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.10827900000001,3831,Subscriber,2000,1,246510,-71.09566910270888,42.348895532012534,57488,-71.10525113638508,42.35072343961119,2902.0,3257.0
592,2019-10-10 00:49:05.9380,2019-10-10 00:58:58.1820,374,Tremont St at Hamilton Pl,42.35668334969929,-71.06166645884514,161,W Broadway at D St,42.3391085,-71.05144320000001,5482,Subscriber,1988,1,256849,-71.05875897400644,42.35536519939637,153874,-71.05112661483342,42.34107425565672,2945.0,3538.0
