tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
1119,2019-10-10 06:34:06.2610,2019-10-10 06:52:46.1590,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.35721850317653,-71.1138716340065,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,2330,Subscriber,1989,2,184240,-71.11281628318231,42.359146547206905,15550,-71.12686913348679,42.3779759042567,23646.0,24766.0,True,True
273,2019-10-10 06:35:43.9830,2019-10-10 06:40:17.5000,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.10549499999998,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3305,Subscriber,1988,1,202723,-71.10279971702325,42.36515948515013,259993,-71.09134591581899,42.357408050612506,23743.0,24017.0,True,True
499,2019-10-10 06:35:44.0250,2019-10-10 06:44:03.2420,185,Third at Binney,42.365444861374,-71.08277142047879,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4137,Subscriber,1987,2,182848,-71.08279860092813,42.36802902277859,41556,-71.09580711302365,42.356682935493545,23744.0,24243.0,True,True
305,2019-10-10 06:39:43.4970,2019-10-10 06:44:48.9300,183,Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304,414,Discovery Park - 30 Acorn Park Drive,42.39790817368333,-71.14797130814624,3393,Subscriber,1974,1,58654,-71.14494948962681,42.39437034697567,35666,-71.14988242182652,42.3993405488868,23983.0,24288.0,True,True
774,2019-10-10 06:43:02.0440,2019-10-10 06:55:56.9380,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,183,Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304,5683,Subscriber,1996,1,96378,-71.1223954,42.38053010000001,202722,-71.14160229999997,42.39577814999999,24182.0,24956.0,True,True
273,2019-10-10 06:46:25.3310,2019-10-10 06:50:59.1380,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,3873,Subscriber,1993,1,184997,-71.10485082327924,42.363716222828096,96590,-71.11256928572708,42.37256397503846,24385.0,24659.0,True,True
303,2019-10-10 06:47:14.9130,2019-10-10 06:52:18.0150,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,5553,Subscriber,1997,1,20687,-71.09632889586395,42.36936517996814,138041,-71.10229332035766,42.36421560629224,24434.0,24738.0,True,True
477,2019-10-10 06:48:41.2880,2019-10-10 06:56:38.3180,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000002,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,5759,Subscriber,1974,2,103000,-71.07774779977245,42.36844603463794,53899,-71.09397401089133,42.367108654907156,24521.0,24998.0,True,True
703,2019-10-10 06:52:08.3610,2019-10-10 07:03:51.9760,381,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,185,Third at Binney,42.365444861374,-71.08277142047879,5061,Subscriber,1996,1,7640,-71.10176147719048,42.37340935466091,127218,-71.08183750369714,42.36758717904128,24728.0,25431.0,True,True
530,2019-10-10 06:53:56.2820,2019-10-10 07:02:46.4350,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,4359,Subscriber,1986,1,57634,-71.10243347882586,42.37109156509747,257064,-71.11958985609806,42.37390115679075,24836.0,25366.0,True,True
475,2019-10-10 06:57:11.9960,2019-10-10 07:05:07.3900,437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,189,Kendall T,42.362427842912396,-71.08495473861693,5405,Subscriber,1997,1,125025,-71.09103289772108,42.373811583838986,245877,-71.08795596931937,42.36214775804637,25031.0,25507.0,True,True
371,2019-10-10 06:57:42.2610,2019-10-10 07:03:53.8500,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,107,Ames St at Main St,42.3625,-71.08821999999998,6008,Subscriber,1988,1,176165,-71.10134473174419,42.36606612301619,202091,-71.08926098560949,42.36230361758911,25062.0,25433.0,True,True
308,2019-10-10 06:57:44.5870,2019-10-10 07:02:53.3070,318,Ames St at Broadway,42.3636929,-71.0875672,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,3831,Subscriber,1995,1,4342,-71.08862548006081,42.361647771539594,184459,-71.10460238448977,42.36347925072571,25064.0,25373.0,True,True
311,2019-10-10 06:58:37.2210,2019-10-10 07:03:48.6620,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,189,Kendall T,42.362427842912396,-71.08495473861693,4003,Subscriber,1988,1,30516,-71.09801134023586,42.360120672733736,100937,-71.08234246318196,42.36236216313839,25117.0,25428.0,True,True
440,2019-10-10 07:00:30.9260,2019-10-10 07:07:51.5180,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,189,Kendall T,42.362427842912396,-71.08495473861693,5122,Subscriber,1994,1,117120,-71.10309868955477,42.36141082086328,225269,-71.08435148284433,42.36380294338639,25230.0,25671.0,True,True
422,2019-10-10 07:00:33.1760,2019-10-10 07:07:35.2450,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,6066,Subscriber,1972,2,257084,-71.1209449206157,42.37363980601921,120591,-71.10367968887522,42.37118146920829,25233.0,25655.0,True,True
631,2019-10-10 07:01:48.3670,2019-10-10 07:12:20.1540,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,141,Kendall Street,42.36356015842989,-71.08216792345047,2832,Subscriber,1995,1,57977,-71.10286132666715,42.361622078400224,128324,-71.08000641281184,42.36285997656437,25308.0,25940.0,True,True
243,2019-10-10 07:03:20.3070,2019-10-10 07:07:23.8760,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,318,Ames St at Broadway,42.3636929,-71.0875672,2939,Subscriber,1962,1,123749,-71.09631412363109,42.368913164492405,203984,-71.0869282763621,42.36167284544136,25400.0,25643.0,True,True
198,2019-10-10 07:03:45.5270,2019-10-10 07:07:03.9180,189,Kendall T,42.362427842912396,-71.08495473861693,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,2393,Subscriber,1992,1,48471,-71.08535149588106,42.363624754018005,156209,-71.09467391687522,42.36535626865875,25425.0,25623.0,True,True
353,2019-10-10 07:05:02.5560,2019-10-10 07:10:55.5790,140,Danehy Park,42.388966,-71.132788,115,Porter Square Station,42.387995,-71.119084,3274,Subscriber,1985,1,181056,-71.1316901,42.388803100000004,225161,-71.11812540000001,42.3863364,25502.0,25855.0,True,True
366,2019-10-10 07:06:32.8770,2019-10-10 07:12:39.0300,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,4943,Subscriber,1987,2,15951,-71.12486778210788,42.373368533355524,134690,-71.11463307039939,42.36576967570503,25592.0,25959.0,True,True
346,2019-10-10 07:10:04.9130,2019-10-10 07:15:50.9760,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,185,Third at Binney,42.365444861374,-71.08277142047879,4495,Subscriber,1991,1,202854,-71.0965234522309,42.35858321065092,190553,-71.08453072164305,42.367715403806436,25804.0,26150.0,True,True
472,2019-10-10 07:17:06.3570,2019-10-10 07:24:58.6460,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,318,Ames St at Broadway,42.3636929,-71.0875672,2088,Subscriber,1992,1,69918,-71.09891009314187,42.3667260788512,259924,-71.08839542612327,42.36347755726871,26226.0,26698.0,True,True
339,2019-10-10 07:17:06.5230,2019-10-10 07:22:46.1070,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,318,Ames St at Broadway,42.3636929,-71.0875672,4453,Subscriber,1995,1,17346,-71.10030979911123,42.370640879192415,190681,-71.08759195664244,42.36536025088269,26226.0,26566.0,True,True
515,2019-10-10 07:17:48.9710,2019-10-10 07:26:24.3610,139,Dana Park,42.361780439606044,-71.10809952020645,189,Kendall T,42.362427842912396,-71.08495473861693,3277,Subscriber,1994,1,181588,-71.10986765000001,42.36242930000001,203985,-71.08662682386243,42.36103454178034,26268.0,26784.0,True,True
187,2019-10-10 07:20:30.2200,2019-10-10 07:23:37.7370,367,Vassal Lane at Tobin/VLUS,42.3839322489048,-71.13961271959852,181,Huron Ave At Vassal Lane,42.381650612901176,-71.13426981498378,5306,Subscriber,1979,1,6290,-71.14208947828189,42.38234563026496,6176,-71.13504421237714,42.3840448996695,26430.0,26617.0,True,True
859,2019-10-10 07:21:41.7730,2019-10-10 07:36:01.6130,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,189,Kendall T,42.362427842912396,-71.08495473861693,5085,Subscriber,1975,1,11039,-71.0970698,42.37365325,260667,-71.08158049814985,42.36302972003322,26501.0,27361.0,True,True
193,2019-10-10 07:21:53.1050,2019-10-10 07:25:06.5940,107,Ames St at Main St,42.3625,-71.08821999999998,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,6008,Subscriber,1997,1,4322,-71.0893407361855,42.360318835832615,259990,-71.09386902169051,42.35656736589055,26513.0,26706.0,True,True
454,2019-10-10 07:23:13.0900,2019-10-10 07:30:47.6030,139,Dana Park,42.361780439606044,-71.10809952020645,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,3892,Subscriber,1969,1,174432,-71.10782871078098,42.360355803471215,17139,-71.11008625569312,42.37256177975928,26593.0,27047.0,True,True
966,2019-10-10 07:24:14.0040,2019-10-10 07:40:20.2950,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,228,One Memorial Drive,42.36161932076685,-71.08043550520959,2387,Subscriber,1998,2,123024,-71.11398835,42.36846345,246777,-71.08087254096763,42.36228773346335,26654.0,27620.0,True,True
674,2019-10-10 07:24:54.1750,2019-10-10 07:36:08.6080,189,Kendall T,42.362427842912396,-71.08495473861693,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,5405,Subscriber,1957,1,48471,-71.08535149588106,42.363624754018005,65875,-71.0923195789294,42.37204546655728,26694.0,27368.0,True,True
278,2019-10-10 07:25:00.9670,2019-10-10 07:29:39.5880,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,380,Mass Ave at Albany St,42.36135837662249,-71.09670273977825,2799,Subscriber,1994,1,17350,-71.09983727465568,42.36941162514974,187833,-71.09822659515821,42.36245696009356,26700.0,26979.0,True,True
450,2019-10-10 07:27:44.5640,2019-10-10 07:35:15.3580,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,189,Kendall T,42.362427842912396,-71.08495473861693,2961,Subscriber,1996,1,225123,-71.10025655,42.3571481,259925,-71.0833979646477,42.36310196018643,26864.0,27315.0,True,True
198,2019-10-10 07:29:00.2040,2019-10-10 07:32:18.5600,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000002,398,75 Binney St,42.36550728505653,-71.0801375997653,5479,Subscriber,1993,2,225777,-71.07928896181014,42.371992077516424,203471,-71.08042852545556,42.36366982460492,26940.0,27138.0,True,True
631,2019-10-10 07:29:30.1110,2019-10-10 07:40:01.6440,333,699 Mt Auburn St,42.37500235137831,-71.14871613699506,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,4791,Subscriber,1972,1,35358,-71.1504091708094,42.376021633053824,6627,-71.11022660926831,42.37515807683499,26970.0,27601.0,True,True
872,2019-10-10 07:29:48.2160,2019-10-10 07:44:20.9560,145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,2106,Subscriber,1989,1,36719,-71.13067050490952,42.39382257022355,138337,-71.09860380000002,42.371145399999996,26988.0,27860.0,True,True
256,2019-10-10 07:31:05.1200,2019-10-10 07:35:21.2440,189,Kendall T,42.362427842912396,-71.08495473861693,380,Mass Ave at Albany St,42.36135837662249,-71.09670273977825,5122,Subscriber,1981,1,101528,-71.08748081038267,42.36280807589264,201824,-71.09375344290599,42.360189607699375,27065.0,27321.0,True,True
324,2019-10-10 07:31:27.7470,2019-10-10 07:36:52.3180,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,5730,Subscriber,1974,1,182521,-71.11434511384431,42.36785287560412,246322,-71.1202485134758,42.372178999143635,27087.0,27412.0,True,True
394,2019-10-10 07:32:11.7890,2019-10-10 07:38:46.6060,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4163,Subscriber,1996,1,20478,-71.09733456622833,42.37420134955695,175354,-71.10447571545673,42.36343803038183,27131.0,27526.0,True,True
345,2019-10-10 07:34:00.5780,2019-10-10 07:39:45.9430,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,189,Kendall T,42.362427842912396,-71.08495473861693,2393,Subscriber,1992,1,93081,-71.09446239630216,42.36789643599806,69948,-71.08561003055435,42.364083413372576,27240.0,27585.0,True,True
489,2019-10-10 07:34:01.4790,2019-10-10 07:42:10.9480,179,MIT Vassar St,42.35560121327927,-71.10394477844237,189,Kendall T,42.362427842912396,-71.08495473861693,4380,Subscriber,1982,1,85786,-71.10636858023864,42.35434061052706,203984,-71.0869282763621,42.36167284544136,27241.0,27730.0,True,True
166,2019-10-10 07:35:17.2250,2019-10-10 07:38:03.5460,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,2582,Subscriber,1981,1,122973,-71.0999516829749,42.36959222469161,11255,-71.09224397092304,42.371066695306155,27317.0,27483.0,True,True
