tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
648,20:43.4,31:32.3,115,Porter Square Station,42.387995,-71.119084,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,4898,Subscriber,1968,1,37094,-71.12111927,42.38619669,103023,-71.09337113,42.36806026,22843,23492,TRUE,TRUE
818,21:34.6,35:12.8,115,Porter Square Station,42.387995,-71.119084,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,2340,Subscriber,1974,2,37094,-71.12111927,42.38619669,258229,-71.09068905,42.36703951,22894,23712,TRUE,TRUE
328,22:29.9,27:58.6,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4184,Subscriber,1984,2,184697,-71.09394896,42.37042718,203684,-71.10408901,42.36707007,22949,23278,TRUE,TRUE
321,28:51.2,34:13.0,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,5294,Subscriber,1997,1,126874,-71.09583373,42.37327788,203689,-71.10420252,42.36733158,23331,23652,TRUE,TRUE
204,32:47.6,36:12.0,177,University Park,42.36264779,-71.10006094,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4345,Subscriber,1988,1,85473,-71.10235851,42.36266093,201803,-71.09318083,42.35929494,23567,23771,TRUE,TRUE
396,35:23.7,42:00.1,183,Alewife MBTA at Steel Place,42.39558846,-71.14260614,414,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131,4503,Subscriber,1974,1,16673,-71.14362063,42.39384833,202826,-71.14877888,42.39814473,23723,24120,TRUE,TRUE
465,36:30.6,44:15.8,189,Kendall T,42.36242784,-71.08495474,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,4736,Subscriber,1958,1,260667,-71.0815805,42.36302972,246346,-71.099509,42.36051361,23790,24255,TRUE,TRUE
506,39:59.9,48:26.8,177,University Park,42.36264779,-71.10006094,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,3422,Subscriber,1989,2,257858,-71.10306935,42.3629325,96598,-71.11813045,42.37204068,23999,24506,TRUE,TRUE
139,41:44.8,44:03.9,189,Kendall T,42.36242784,-71.08495474,398,75 Binney St,42.36550729,-71.0801376,4988,Subscriber,1980,1,259923,-71.0866881,42.36212664,69895,-71.07953996,42.36759631,24104,24243,TRUE,TRUE
292,42:21.2,47:13.5,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,318,Ames St at Broadway,42.3636929,-71.0875672,4856,Customer,1996,2,181569,-71.08324994,42.36877882,225269,-71.08435148,42.36380294,24141,24433,TRUE,TRUE
522,42:42.5,51:25.2,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,2561,Subscriber,1974,2,246708,-71.07527895,42.36855569,11397,-71.0937286,42.36810835,24162,24685,TRUE,TRUE
457,44:19.5,51:57.1,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,177,University Park,42.36264779,-71.10006094,4072,Subscriber,1991,2,55281,-71.11106871,42.35812082,135830,-71.10250704,42.36358224,24259,24717,TRUE,TRUE
192,47:15.6,50:27.8,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,179,MIT Vassar St,42.35560121,-71.10394478,2457,Subscriber,1992,1,89956,-71.09971141,42.35963531,158921,-71.10495202,42.35776057,24435,24627,TRUE,TRUE
989,48:16.3,04:46.2,409,Elm St at White St,42.38952436,-71.1169414,189,Kendall T,42.36242784,-71.08495474,3782,Subscriber,1988,1,134617,-71.11861316,42.38725446,260667,-71.0815805,42.36302972,24496,25486,TRUE,TRUE
474,48:21.6,56:16.1,99,Wilson Square,42.385582,-71.113341,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,2939,Subscriber,1993,2,138493,-71.11488465,42.3842016,257110,-71.12140947,42.37249233,24501,24976,TRUE,TRUE
1451,49:33.1,13:44.2,139,Dana Park,42.36178044,-71.10809952,367,Vassal Lane at Tobin/VLUS,42.38393225,-71.13961272,3898,Subscriber,1955,2,182388,-71.10843169,42.36260362,182353,-71.1368277,42.38364206,24573,26024,TRUE,TRUE
674,50:38.9,01:52.9,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3422,Subscriber,1985,1,135733,-71.11815295,42.37406265,259989,-71.09485891,42.3562401,24638,25312,TRUE,TRUE
333,52:06.5,57:40.2,140,Danehy Park,42.388966,-71.132788,115,Porter Square Station,42.387995,-71.119084,4112,Subscriber,1985,1,35038,-71.13205516,42.39099523,117392,-71.11860616,42.39062312,24726,25060,TRUE,TRUE
1234,52:08.8,12:43.2,221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5572,Subscriber,1988,1,7645,-71.11339276,42.37325073,221,-71.09442546,42.35717456,24728,25963,TRUE,TRUE
394,52:53.1,59:27.7,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,5861,Subscriber,1986,1,61684,-71.10412867,42.37192186,6729,-71.11913595,42.37166414,24773,25167,TRUE,TRUE
500,53:29.1,01:50.0,179,MIT Vassar St,42.35560121,-71.10394478,189,Kendall T,42.36242784,-71.08495474,5866,Subscriber,1990,2,85747,-71.10724038,42.35589893,245878,-71.08788993,42.36149681,24809,25310,TRUE,TRUE
832,54:52.9,08:45.7,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,117,Binney St / Sixth St,42.36608797,-71.08633604,5419,Subscriber,1992,2,38833,-71.11150902,42.36805583,48370,-71.0848419,42.3641353,24892,25725,TRUE,TRUE
352,55:20.0,01:12.7,221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,180,Mt Auburn,42.37478629,-71.13320231,807,Subscriber,1989,1,96554,-71.11377384,42.37483867,117915,-71.13029998,42.37583434,24919,25272,TRUE,TRUE
424,55:59.1,03:04.0,179,MIT Vassar St,42.35560121,-71.10394478,189,Kendall T,42.36242784,-71.08495474,2970,Subscriber,1999,1,161155,-71.1060889,42.3576161,225269,-71.08435148,42.36380294,24959,25383,TRUE,TRUE
