activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_t,Unnamed: 7,duration_minutes,distance_miles,start_hour,same_place,day,Unnamed: 13,Unnamed: 14,formatted_date_column
1.23e+19,42.372484,-71.117852,42.374029,-71.114152,EAT,2022-10-12 07:03:00,,2,0.862227277,7,No,1,,,2022-10-12 07:03:00.000000
1.24e+19,42.366069,-71.105366,42.36033466,-71.10854492,EAT,2022-10-12 07:03:00,,1,0.659387077,7,No,1,,,2022-10-12 07:03:00.000000
9.1e+18,42.372246000000004,-71.07982,42.385428000000005,-71.128111,EAT,2022-10-12 07:03:00,,9,3.958501617,7,No,1,,,2022-10-12 07:03:00.000000
7.35e+18,42.369725,-71.111874,42.37072942,-71.11053145,EAT,2022-10-12 07:03:00,,3,0.173814942,7,No,1,,,2022-10-12 07:03:00.000000
1.56e+19,42.372484,-71.117852,42.378529,-71.123497,EAT,2022-10-12 07:03:00,,2,0.923981727,7,No,1,,,2022-10-12 07:03:00.000000
1.13e+19,42.361649,-71.09047,42.360623,-71.08743,EAT,2022-10-12 07:04:00,,1,0.08023913,7,No,1,,,2022-10-12 07:04:00.000000
1.45e+17,42.384488,-71.11983000000001,42.39073079,-71.12620616,EAT,2022-10-12 07:04:00,,2,0.932979378,7,No,1,,,2022-10-12 07:04:00.000000
4.16e+18,42.386094,-71.119577,42.39202509,-71.12622474,EAT,2022-10-12 07:05:00,,2,0.832637409,7,No,1,,,2022-10-12 07:05:00.000000
1.27e+19,42.384488,-71.11983000000001,42.39165921,-71.12459075,EAT,2022-10-12 07:05:00,,1,0.75117617,7,No,1,,,2022-10-12 07:05:00.000000
1.36e+19,42.384488,-71.11983000000001,42.39165921,-71.12459075,EAT,2022-10-12 07:05:00,,1,0.646999259,7,No,1,,,2022-10-12 07:05:00.000000
1.68e+19,42.384488,-71.11983000000001,42.36435779,-71.10046658,EAT,2022-10-12 07:06:00,,5,2.384511303,7,No,1,,,2022-10-12 07:06:00.000000
2.97e+18,42.366069,-71.105366,42.36041365,-71.11086504,EAT,2022-10-12 07:06:00,,1,0.599805076,7,No,1,,,2022-10-12 07:06:00.000000
1.52e+19,42.371777,-71.120631,42.372007,-71.118256,EAT,2022-10-12 07:08:00,,2,0.124297437,7,No,1,,,2022-10-12 07:08:00.000000
2.16e+18,42.359066,-71.09474399999999,42.36594338,-71.09917866,EAT,2022-10-12 07:08:00,,2,0.8393462279999999,7,No,1,,,2022-10-12 07:08:00.000000
1.12e+19,42.361649,-71.09047,42.35894005,-71.10823351,EAT,2022-10-12 07:09:00,,28,1.4449909019999998,7,No,1,,,2022-10-12 07:09:00.000000
5.71e+18,42.367958,-71.090294,42.37092075,-71.08969194,EAT,2022-10-12 07:09:00,,2,0.119887651,7,No,1,,,2022-10-12 07:09:00.000000
8.71e+17,42.357745,-71.10427299999999,42.35793572,-71.10963106,EAT,2022-10-12 07:10:00,,2,0.133836336,7,No,1,,,2022-10-12 07:10:00.000000
4.97e+18,42.371959999999994,-71.075408,42.36677032,-71.10667361,EAT,2022-10-12 07:10:00,,25,2.140022807,7,No,1,,,2022-10-12 07:10:00.000000
1.78e+19,42.361649,-71.09047,42.360623,-71.08743,EAT,2022-10-12 07:11:00,,2,0.7119687859999999,7,No,1,,,2022-10-12 07:11:00.000000
1.03e+19,42.357745,-71.10427299999999,42.40176833,-71.13344489,EAT,2022-10-12 07:12:00,,9,4.067048633,7,No,1,,,2022-10-12 07:12:00.000000
1.69e+19,42.362782,-71.09388,42.36429262,-71.10058658,EAT,2022-10-12 07:12:00,,1,0.09694826,7,No,1,,,2022-10-12 07:12:00.000000
5.69e+18,42.362782,-71.09388,42.36991781,-71.07327512,EAT,2022-10-12 07:12:00,,11,1.78619529,7,No,1,,,2022-10-12 07:12:00.000000
9.81e+18,42.3734,-71.099827,42.357233,-71.106431,EAT,2022-10-12 07:13:00,,20,1.499516637,7,No,1,,,2022-10-12 07:13:00.000000
9.41e+17,42.372484,-71.117852,42.38375115,-71.13445477,EAT,2022-10-12 07:13:00,,4,2.1719173830000003,7,No,1,,,2022-10-12 07:13:00.000000
6.51e+18,42.360789000000004,-71.096565,42.389394,-71.119745,EAT,2022-10-12 07:15:00,,7,2.645127042,7,No,1,,,2022-10-12 07:15:00.000000
1.79e+19,42.361649,-71.09047,42.360623,-71.08743,EAT,2022-10-12 07:16:00,,1,0.101412307,7,No,1,,,2022-10-12 07:16:00.000000
2.73e+18,42.365244,-71.08233299999999,42.368643,-71.09004,EAT,2022-10-12 07:16:00,,12,0.65651981,7,No,1,,,2022-10-12 07:16:00.000000
4.23e+17,42.365028,-71.102423,42.377584000000006,-71.147683,EAT,2022-10-12 07:17:00,,6,3.09053316,7,No,1,,,2022-10-12 07:17:00.000000
1.78e+19,42.389362,-71.119548,42.38944898,-71.11968545,EAT,2022-10-12 07:17:00,,1,0.069225747,7,No,1,,,2022-10-12 07:17:00.000000
8.34e+18,42.365028,-71.102423,42.35731286,-71.09384526,EAT,2022-10-12 07:18:00,,4,1.9209988569999998,7,No,1,,,2022-10-12 07:18:00.000000
1.36e+19,42.365028,-71.102423,42.35731286,-71.09384526,EAT,2022-10-12 07:18:00,,3,1.119318222,7,No,1,,,2022-10-12 07:18:00.000000
1.02e+19,42.372440999999995,-71.118977,42.37272016,-71.10276086,EAT,2022-10-12 07:19:00,,5,2.1105390369999997,7,No,1,,,2022-10-12 07:19:00.000000
1.48e+19,42.372484,-71.117852,42.37486424,-71.12076241,EAT,2022-10-12 07:19:00,,3,1.4350144619999998,7,No,1,,,2022-10-12 07:19:00.000000
1.33e+18,42.372440999999995,-71.118977,42.3788163,-71.12039240000001,EAT,2022-10-12 07:19:00,,3,1.058853322,7,No,1,,,2022-10-12 07:19:00.000000
1.26e+19,42.390043,-71.118227,42.37722677,-71.14627299,EAT,2022-10-12 07:19:00,,3,1.788589475,7,No,1,,,2022-10-12 07:19:00.000000
1.67e+19,42.365244,-71.08233299999999,42.3574016,-71.10638216,EAT,2022-10-12 07:19:00,,4,1.6806463409999999,7,No,1,,,2022-10-12 07:19:00.000000
4.68e+18,42.365244,-71.08233299999999,42.359209899999996,-71.1108903,EAT,2022-10-12 07:19:00,,5,2.3444509069999997,7,No,1,,,2022-10-12 07:19:00.000000
4.86e+18,42.365244,-71.08233299999999,42.354988,-71.103274,EAT,2022-10-12 07:19:00,,5,1.766333484,7,No,1,,,2022-10-12 07:19:00.000000
1.14e+19,42.361649,-71.09047,42.35757767,-71.10592638,EAT,2022-10-12 07:19:00,,4,1.729051366,7,No,1,,,2022-10-12 07:19:00.000000
9.14e+18,42.372027,-71.120423,42.37674903,-71.10794945,EAT,2022-10-12 07:20:00,,3,1.2945358390000001,7,No,1,,,2022-10-12 07:20:00.000000
5.59e+18,42.375451,-71.149096,42.37586099,-71.14779388,EAT,2022-10-12 07:21:00,,2,0.140238314,7,No,1,,,2022-10-12 07:21:00.000000
