activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_t,,duration_minutes,distance_miles,start_hour,same_place,day,,
1.59E+19,42.362782,-71.09388,42.364369,-71.081379,EAT,10/12/22 7:32,,3,1.282259994,7,No,1,,
6.36E+18,42.363335,-71.100716,42.36332159,-71.1024369,EAT,10/12/22 7:32,,1,0.054507365,7,No,1,,
1.72E+19,42.361649,-71.09047,42.3729974,-71.07877302,EAT,10/12/22 7:33,,10,1.58143512,7,No,1,,
9.91E+18,42.377946,-71.107261,42.37804542,-71.11049485,EAT,10/12/22 7:34,,6,0.317671944,7,No,1,,
5.08E+18,42.360789,-71.096565,42.360185,-71.094321,EAT,10/12/22 7:34,,19,1.026681755,7,No,1,,
4.45E+18,42.374189,-71.121151,42.37231411,-71.1092493,EAT,10/12/22 7:34,,2,0.838061879,7,No,1,,
1.59E+19,42.373387,-71.094985,42.355948,-71.112668,EAT,10/12/22 7:34,,5,2.404157214,7,No,1,,
1.01E+19,42.361649,-71.09047,42.36263624,-71.08273467,EAT,10/12/22 7:34,,2,0.149842874,7,No,1,,
6.13E+18,42.365244,-71.082333,42.362934,-71.082109,EAT,10/12/22 7:34,,2,0.113665741,7,No,1,,
1.32E+19,42.360789,-71.096565,42.358764,-71.096359,EAT,10/12/22 7:34,,1,0.625470521,7,No,1,,
1.08E+18,42.384488,-71.11983,42.39656398,-71.12870704,EAT,10/12/22 7:35,,3,1.180917471,7,No,1,,
2.36E+17,42.372246,-71.07982,42.37015099,-71.08790781,EAT,10/12/22 7:36,,9,0.514276066,7,No,1,,
1.59E+19,42.389362,-71.119548,42.38978378,-71.12250901,EAT,10/12/22 7:36,,4,0.209577198,7,No,1,,
7.65E+17,42.359066,-71.094744,42.356409,-71.108007,EAT,10/12/22 7:37,,4,0.20747009,7,No,1,,
1.29E+19,42.365244,-71.082333,42.365952,-71.082562,EAT,10/12/22 7:38,,3,0.1941236,7,No,1,,
1.11E+18,42.361649,-71.09047,42.365003,-71.087029,EAT,10/12/22 7:39,,1,0.527095537,7,No,1,,
1.57E+19,42.369371,-71.077051,42.35959393,-71.10539064,EAT,10/12/22 7:39,,8,3.069812372,7,No,1,,
3.27E+18,42.374189,-71.121151,42.373902,-71.119647,EAT,10/12/22 7:40,,1,0.057861323,7,No,1,,
1.41E+19,42.374189,-71.121151,42.382449,-71.120062,EAT,10/12/22 7:41,,18,0.953552739,7,No,1,,
1.81E+19,42.374189,-71.121151,42.38214977,-71.12091813,EAT,10/12/22 7:41,,1,0.623285602,7,No,1,,
1.57E+19,42.37324,-71.114262,42.354988,-71.103274,EAT,10/12/22 7:41,,5,2.341243545,7,No,1,,
3.41E+18,42.362782,-71.09388,42.35962555,-71.1115244,EAT,10/12/22 7:42,,4,1.88691387,7,No,1,,
5.31E+18,42.365244,-71.082333,42.37266597,-71.10015332,EAT,10/12/22 7:42,,6,2.386678989,7,No,1,,
1.21E+18,42.365028,-71.102423,42.370441,-71.113709,EAT,10/12/22 7:42,,2,0.922227911,7,No,1,,
1.16E+19,42.365028,-71.102423,42.37211343,-71.11182033,EAT,10/12/22 7:42,,2,0.902629689,7,No,1,,
1.62E+19,42.389362,-71.119548,42.38237975,-71.1147335,EAT,10/12/22 7:44,,2,0.819577051,7,No,1,,
5.25E+18,42.365028,-71.102423,42.365952,-71.082562,EAT,10/12/22 7:44,,24,1.282959551,7,No,1,,
7.90E+18,42.372441,-71.118977,42.37698134,-71.11032032,EAT,10/12/22 7:44,,12,0.622445937,7,No,1,,
1.09E+19,42.372484,-71.117852,42.37072373,-71.10512857,EAT,10/12/22 7:44,,13,0.953099462,7,No,1,,
1.00E+19,42.372484,-71.117852,42.3718519,-71.10835651,EAT,10/12/22 7:44,,13,0.716878698,7,No,1,,
1.62E+19,42.357996,-71.114939,42.37326645,-71.10378884,EAT,10/12/22 7:45,,4,1.704297823,7,No,1,,
1.49E+19,42.37324,-71.114262,42.38992618,-71.1223849,EAT,10/12/22 7:46,,26,1.38162765,7,No,1,,
1.19E+19,42.390043,-71.118227,42.39987779,-71.13238731,EAT,10/12/22 7:46,,3,1.393190491,7,No,1,,
3.73E+18,42.365028,-71.102423,42.3646724,-71.08384421,EAT,10/12/22 7:46,,3,1.409287369,7,No,1,,
6.80E+18,42.365244,-71.082333,42.37231425,-71.08010213,EAT,10/12/22 7:47,,1,0.56149399,7,No,1,,
1.30E+19,42.359066,-71.094744,42.354988,-71.103274,EAT,10/12/22 7:47,,13,0.712608044,7,No,1,,
